FRA,Compra,4,16.7,66.8,D,BRADESCO,ON      N1
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,35,38.5,1347.5,D,TAESA,UNT     N2
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,6,17.89,107.34,D,BRADESCO,ON      N1
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,77,9.88,760.76,D,AES BRASIL,ON      NM
VIS,Compra,100,11.75,1175.0,D,BRADESCO,ON      N1
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
VIS,Compra,100,28.0,2800.0,D,BBSEGURIDADE,ON      NM
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,17,23.99,407.83,D,ISA ENERGIA,PN      N1
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,50,36.4,1820.0,D,TAESA,UNT     N2
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,20,31.31,626.2,D,BBSEGURIDADE,ON      NM
VIS,Compra,100,31.35,3135.0,D,BBSEGURIDADE,ON      NM
FRA,Compra,10,31.31,313.1,D,BBSEGURIDADE,ON      NM
FRA,Compra,50,31.31,1565.5,D,BBSEGURIDADE,ON      NM
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,1,27.83,27.83,D,BRASIL,ON      NM
FRA,Compra,52,27.83,1447.16,D,BRASIL,ON      NM
VIS,Compra,100,24.0,2400.0,D,ISA ENERGIA,PN      N1
FRA,Compra,22,27.83,612.26,D,BRASIL,ON      NM
FRA,Compra,50,24.01,1200.5,D,ISA ENERGIA,PN      N1
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
VIS,Compra,100,17.3,1730.0,D,COPASA,ON      NM
Negociação,C/V,Quantidade,Preço,Valor,D/C,Ativo,Tipo
FRA,Compra,20,39.2,784.0,D,TAESA,UNT     N2
FRA,Compra,5,39.2,196.0,D,TAESA,UNT     N2
FRA,Compra,1,39.2,39.2,D,TAESA,UNT     N2
